,Date,CPI,Unemployment_Rate,G10Yield,G5Yield,G3Yield,EURUSD,GBPUSD,USDCHF,USDJPY,SP500_Close
0,2000-01-01,169.3,4.0,6.66,6.58,6.49,1.0155,1.627,1.5808,101.7,1366.42
1,2000-02-01,170.0,4.1,6.52,6.68,6.65,0.9731,1.615,1.654,107.67,1498.58
2,2000-03-01,171.0,4.0,6.26,6.5,6.53,0.97,1.5849,1.6568,107.1,1452.43
3,2000-04-01,170.9,3.8,5.99,6.26,6.36,0.956,1.598,1.6587,104.82,1420.6
4,2000-05-01,171.2,4.0,6.44,6.69,6.77,0.912,1.5558,1.7135,108.89,1454.6
5,2000-06-01,172.2,4.0,6.1,6.3,6.43,0.9307,1.4915,1.6878,108.74,1430.83
6,2000-07-01,172.7,4.0,6.05,6.18,6.28,0.9526,1.5135,1.6323,105.64,1517.68
7,2000-08-01,172.7,4.1,5.83,6.06,6.17,0.9228,1.4992,1.6758,109.47,1436.51
8,2000-09-01,173.6,3.9,5.8,5.93,6.02,0.8993,1.4605,1.723,105.78,1429.4
9,2000-10-01,173.9,3.9,5.74,5.78,5.85,0.8806,1.4675,1.7322,108.81,1314.95
10,2000-11-01,174.2,3.9,5.72,5.7,5.79,0.8584,1.4452,1.7765,108.48,1320.28
11,2000-12-01,174.6,3.9,5.24,5.17,5.26,0.8765,1.4373,1.7285,111.15,1366.01
12,2001-01-01,175.6,4.2,5.16,4.86,4.77,0.9465,1.4977,1.6075,114.73,1239.94
13,2001-02-01,176.0,4.2,5.1,4.89,4.71,0.9384,1.4775,1.633,115.33,1160.33
14,2001-03-01,176.1,4.3,4.89,4.64,4.43,0.9291,1.4553,1.6557,117.33,1249.46
15,2001-04-01,176.4,4.4,5.14,4.76,4.42,0.8824,1.42,1.7317,126.75,1255.82
16,2001-05-01,177.3,4.3,5.39,4.93,4.51,0.8937,1.434,1.7255,121.92,1224.38
17,2001-06-01,177.7,4.5,5.28,4.81,4.35,0.8452,1.416,1.7992,119.13,1211.23
18,2001-07-01,177.4,4.6,5.24,4.76,4.31,0.8455,1.4168,1.8003,124.22,1133.58
19,2001-08-01,177.4,4.9,4.97,4.57,4.04,0.8793,1.433,1.7158,124.87,1040.94
20,2001-09-01,178.1,5.0,4.73,4.12,3.45,0.8868,1.4444,1.7075,119.49,1059.78
21,2001-10-01,177.6,5.3,4.57,3.91,3.14,0.9159,1.4785,1.6196,120.27,1139.45
22,2001-11-01,177.5,5.5,4.65,3.97,3.22,0.9044,1.462,1.6295,121.87,1148.08
23,2001-12-01,177.4,5.7,5.09,4.39,3.62,0.8897,1.4217,1.655,123.9,1130.2
24,2002-01-01,177.7,5.7,5.04,4.34,3.56,0.9031,1.4451,1.6424,132.02,1106.73
25,2002-02-01,178.0,5.7,4.91,4.3,3.55,0.8613,1.4158,1.7179,133.77,1147.39
26,2002-03-01,178.5,5.7,5.28,4.74,4.14,0.8652,1.419,1.706,133.35,1076.92
27,2002-04-01,179.3,5.9,5.21,4.65,4.01,0.8806,1.4407,1.6607,133.32,1067.14
28,2002-05-01,179.5,5.8,5.16,4.49,3.8,0.9062,1.4621,1.601,127.45,989.82
29,2002-06-01,179.6,5.8,4.93,4.19,3.49,0.939,1.4622,1.5638,123.69,911.62
30,2002-07-01,180.0,5.8,4.65,3.81,3.01,0.9893,1.5307,1.4845,120.04,916.07
31,2002-08-01,180.5,5.7,4.26,3.29,2.52,0.9843,1.5578,1.4703,119.1,815.28
32,2002-09-01,180.8,5.7,3.87,2.94,2.32,0.9959,1.5625,1.473,117.12,885.76
33,2002-10-01,181.2,5.7,3.94,2.95,2.25,0.9859,1.5708,1.4793,122.73,936.31
34,2002-11-01,181.5,5.9,4.05,3.05,2.32,0.9971,1.5638,1.4673,122.16,879.82
35,2002-12-01,181.8,6.0,4.03,3.03,2.23,0.9927,1.5555,1.4845,124.61,855.7
36,2003-01-01,182.6,5.8,4.05,3.05,2.18,1.0361,1.5975,1.4015,119.86,841.15
37,2003-02-01,183.6,5.9,3.9,2.9,2.05,1.0761,1.6405,1.3631,120.47,848.18
38,2003-03-01,183.9,5.9,3.81,2.78,1.98,1.0835,1.5755,1.3468,117.93,916.92
39,2003-04-01,183.2,6.0,3.96,2.93,2.06,1.0904,1.5767,1.3537,118.25,963.59
40,2003-05-01,182.9,6.1,3.57,2.52,1.75,1.1238,1.6103,1.342,118.56,974.5
41,2003-06-01,183.1,6.3,3.33,2.27,1.51,1.1744,1.6372,1.2973,118.52,990.31
42,2003-07-01,183.7,6.2,3.98,2.87,1.93,1.158,1.6626,1.3412,119.45,1008.01
43,2003-08-01,184.5,6.1,4.45,3.37,2.44,1.1252,1.6045,1.3668,120.0,995.97
44,2003-09-01,185.1,6.1,4.27,3.18,2.23,1.0872,1.574,1.4125,116.15,1050.71
45,2003-10-01,184.9,6.0,4.29,3.19,2.26,1.1708,1.6667,1.3148,110.61,1058.2
46,2003-11-01,185.0,5.8,4.3,3.29,2.45,1.1454,1.6786,1.3607,111.2,1111.92
47,2003-12-01,185.5,5.7,4.27,3.27,2.44,1.1956,1.7209,1.3003,109.61,1131.13
48,2004-01-01,186.3,5.7,4.15,3.12,2.27,1.2592,1.7902,1.239,106.95,1144.94
49,2004-02-01,186.7,5.6,4.08,3.07,2.25,1.2426,1.8182,1.2628,105.59,1126.21
50,2004-03-01,187.1,5.8,3.83,2.79,2.0,1.2431,1.868,1.2703,108.93,1107.3
51,2004-04-01,187.4,5.6,4.35,3.39,2.57,1.2358,1.8564,1.2627,103.7,1120.68
52,2004-05-01,188.2,5.6,4.72,3.85,3.1,1.1937,1.772,1.301,110.34,1140.84
53,2004-06-01,188.9,5.6,4.73,3.93,3.26,1.221,1.8359,1.251,110.45,1101.72
54,2004-07-01,189.1,5.5,4.5,3.69,3.05,1.2158,1.816,1.2509,108.24,1104.24
55,2004-08-01,189.2,5.4,4.28,3.47,2.88,1.2034,1.8273,1.2784,111.08,1114.58
56,2004-09-01,189.8,5.4,4.13,3.36,2.83,1.2179,1.794,1.2615,109.62,1130.2
57,2004-10-01,190.8,5.5,4.1,3.35,2.85,1.24,1.7976,1.2496,110.45,1173.82
58,2004-11-01,191.7,5.4,4.19,3.53,3.09,1.2741,1.8323,1.2028,106.41,1211.92
59,2004-12-01,191.7,5.4,4.23,3.6,3.21,1.3308,1.9297,1.144,102.78,1181.27
60,2005-01-01,191.6,5.3,4.22,3.71,3.39,1.3476,1.9058,1.1466,102.83,1203.6
61,2005-02-01,192.4,5.4,4.17,3.77,3.54,1.3017,1.8792,1.1937,103.93,1180.59
62,2005-03-01,193.1,5.2,4.5,4.17,3.91,1.3189,1.9206,1.1654,104.37,1156.85
63,2005-04-01,193.7,5.2,4.34,4.0,3.79,1.2896,1.8789,1.2042,107.57,1191.5
64,2005-05-01,193.6,5.1,4.14,3.85,3.72,1.2857,1.8959,1.198,105.07,1191.33
65,2005-06-01,193.7,5.0,4.0,3.77,3.69,1.2232,1.812,1.2529,108.42,1234.18
66,2005-07-01,194.9,5.0,4.18,3.98,3.91,1.1957,1.7708,1.2965,111.68,1220.33
67,2005-08-01,196.1,4.9,4.26,4.12,4.08,1.2195,1.7695,1.278,112.12,1228.81
68,2005-09-01,198.8,5.0,4.2,4.01,3.96,1.2447,1.8279,1.24,110.16,1207.01
69,2005-10-01,199.1,5.0,4.46,4.33,4.29,1.1914,1.7558,1.3022,114.17,1249.48
70,2005-11-01,198.1,5.0,4.54,4.45,4.43,1.1998,1.763,1.2903,116.63,1248.29
71,2005-12-01,198.1,4.9,4.47,4.39,4.39,1.1702,1.729,1.321,120.62,1280.08
72,2006-01-01,199.3,4.7,4.42,4.35,4.35,1.198,1.7404,1.2938,116.34,1280.66
73,2006-02-01,199.4,4.8,4.57,4.57,4.64,1.2092,1.7781,1.2841,117.85,1294.87
74,2006-03-01,199.7,4.7,4.72,4.72,4.74,1.1899,1.7473,1.3165,116.18,1310.61
75,2006-04-01,200.7,4.7,4.99,4.9,4.89,1.2124,1.7389,1.3044,117.82,1270.09
76,2006-05-01,201.3,4.6,5.11,5.0,4.97,1.2607,1.8286,1.2386,113.06,1270.2
77,2006-06-01,201.8,4.6,5.11,5.07,5.09,1.2824,1.8686,1.2197,112.43,1276.66
78,2006-07-01,202.9,4.7,5.09,5.04,5.07,1.2793,1.841,1.2253,114.92,1303.82
79,2006-08-01,203.8,4.7,4.88,4.82,4.85,1.2778,1.8711,1.2317,114.96,1335.85
80,2006-09-01,202.8,4.5,4.72,4.67,4.69,1.2833,1.905,1.2308,117.21,1377.94
81,2006-10-01,201.9,4.4,4.73,4.69,4.72,1.2744,1.8861,1.2426,117.66,1400.63
82,2006-11-01,202.0,4.5,4.6,4.58,4.64,1.2771,1.9091,1.2433,117.01,1418.3
83,2006-12-01,203.1,4.4,4.56,4.53,4.58,1.3316,1.9794,1.1947,115.33,1438.24
84,2007-01-01,203.44,4.6,4.76,4.75,4.79,1.3286,1.9736,1.2125,118.83,1406.82
85,2007-02-01,204.23,4.5,4.72,4.71,4.75,1.3021,1.9686,1.2427,120.67,1420.86
86,2007-03-01,205.29,4.4,4.56,4.48,4.51,1.3173,1.9579,1.2226,117.53,1482.37
87,2007-04-01,205.9,4.5,4.69,4.59,4.6,1.3374,1.9786,1.2139,117.69,1530.62
88,2007-05-01,206.76,4.4,4.75,4.67,4.69,1.36,1.9993,1.2151,119.77,1503.35
89,2007-06-01,207.23,4.6,5.1,5.03,5.0,1.344,1.9804,1.2299,122.1,1455.27
90,2007-07-01,207.6,4.7,5.0,4.88,4.82,1.3627,2.0161,1.2112,122.32,1473.99
91,2007-08-01,207.67,4.6,4.67,4.43,4.34,1.3682,2.0309,1.2013,118.71,1526.75
92,2007-09-01,208.55,4.7,4.52,4.2,4.06,1.3641,2.0165,1.2071,115.83,1549.38
93,2007-10-01,209.19,4.7,4.53,4.2,4.01,1.4229,2.0436,1.1683,115.91,1481.14
94,2007-11-01,210.83,4.7,4.15,3.67,3.35,1.4435,2.0818,1.1591,114.87,1468.36
95,2007-12-01,211.44,5.0,4.1,3.49,3.13,1.4657,2.0658,1.1291,110.44,1378.55
96,2008-01-01,212.17,5.0,3.74,2.98,2.51,1.4738,1.9824,1.1174,109.7,1330.63
97,2008-02-01,212.69,4.9,3.74,2.78,2.19,1.4851,1.9687,1.0821,106.3,1322.7
98,2008-03-01,213.45,5.1,3.51,2.48,1.8,1.5195,1.985,1.0431,103.57,1385.59
99,2008-04-01,213.94,5.0,3.68,2.84,2.23,1.5615,1.9774,1.0108,101.77,1400.38
100,2008-05-01,215.21,5.4,3.88,3.15,2.69,1.5458,1.9749,1.0478,104.04,1280.0
101,2008-06-01,217.46,5.6,4.1,3.49,3.08,1.555,1.9666,1.0379,104.41,1267.38
102,2008-07-01,219.02,5.8,4.01,3.3,2.87,1.5778,1.993,1.0183,105.73,1282.83
103,2008-08-01,218.69,6.1,3.89,3.14,2.7,1.5567,1.9743,1.048,107.59,1166.36
104,2008-09-01,218.88,6.1,3.69,2.88,2.32,1.4522,1.7853,1.107,108.85,968.75
105,2008-10-01,217.0,6.5,3.81,2.73,1.86,1.4058,1.7804,1.1209,106.06,896.24
106,2008-11-01,213.15,6.8,3.53,2.29,1.51,1.2719,1.5855,1.1681,98.95,903.25
107,2008-12-01,211.4,7.3,2.42,1.52,1.07,1.2634,1.484,1.2076,93.71,825.88
108,2009-01-01,211.93,7.8,2.52,1.6,1.13,1.3946,1.452,1.0685,91.12,735.09
109,2009-02-01,212.7,8.3,2.87,1.87,1.37,1.2808,1.4228,1.164,89.86,797.87
110,2009-03-01,212.5,8.7,2.82,1.82,1.31,1.258,1.3989,1.1723,97.17,872.81
111,2009-04-01,212.71,9.0,2.93,1.86,1.32,1.3223,1.4402,1.1465,98.93,919.14
112,2009-05-01,213.02,9.4,3.29,2.13,1.39,1.3267,1.4881,1.1364,99.24,919.32
113,2009-06-01,214.79,9.5,3.72,2.71,1.76,1.4192,1.6448,1.0688,96.53,987.48
114,2009-07-01,214.73,9.5,3.56,2.46,1.55,1.4186,1.6524,1.072,96.41,1020.62
115,2009-08-01,215.44,9.6,3.59,2.57,1.65,1.4416,1.6956,1.0578,95.23,1057.08
116,2009-09-01,215.86,9.8,3.4,2.37,1.48,1.4235,1.6168,1.0653,93.09,1036.19
117,2009-10-01,216.51,10.0,3.39,2.33,1.46,1.4532,1.595,1.0424,89.73,1095.63
118,2009-11-01,217.23,9.9,3.4,2.23,1.32,1.4828,1.641,1.0177,90.56,1115.1
119,2009-12-01,217.35,9.9,3.59,2.34,1.38,1.51,1.6626,0.9984,86.62,1073.87
120,2010-01-01,217.49,9.8,3.73,2.48,1.49,1.4419,1.6109,1.0294,92.55,1104.49
121,2010-02-01,217.28,9.8,3.69,2.36,1.4,1.3904,1.5924,1.0586,90.8,1169.43
122,2010-03-01,217.35,9.9,3.73,2.43,1.51,1.3516,1.4974,1.0827,89.28,1186.69
123,2010-04-01,217.4,9.9,3.85,2.58,1.64,1.3569,1.529,1.0559,93.83,1089.41
124,2010-05-01,217.29,9.6,3.42,2.18,1.32,1.3183,1.5242,1.0868,94.68,1030.71
125,2010-06-01,217.2,9.4,3.2,2.0,1.17,1.2266,1.4673,1.1548,91.16,1101.6
126,2010-07-01,217.6,9.4,3.01,1.76,0.98,1.2464,1.5126,1.0675,87.42,1049.33
127,2010-08-01,217.92,9.5,2.7,1.47,0.78,1.3174,1.5897,1.0379,86.42,1141.2
128,2010-09-01,218.28,9.5,2.65,1.41,0.74,1.2813,1.5472,1.0149,84.48,1183.26
129,2010-10-01,219.04,9.4,2.54,1.18,0.57,1.3754,1.5829,0.9761,83.3,1180.55
130,2010-11-01,219.59,9.8,2.76,1.35,0.67,1.3888,1.605,0.9935,80.66,1257.64
131,2010-12-01,220.47,9.3,3.29,1.93,0.99,1.3149,1.5603,0.9997,84.0,1286.12
132,2011-01-01,221.19,9.1,3.39,1.99,1.03,1.3371,1.549,0.9329,81.56,1327.22
133,2011-02-01,221.9,9.0,3.58,2.26,1.28,1.3793,1.6124,0.9388,81.48,1325.83
134,2011-03-01,223.05,9.0,3.41,2.11,1.17,1.3813,1.6309,0.9284,81.86,1363.61
135,2011-04-01,224.09,9.1,3.46,2.17,1.21,1.4215,1.6132,0.9243,84.05,1345.2
136,2011-05-01,224.81,9.0,3.17,1.84,0.94,1.487,1.669,0.864,81.23,1320.64
137,2011-06-01,224.81,9.1,3.0,1.58,0.71,1.4431,1.6391,0.8401,80.82,1292.28
138,2011-07-01,225.4,9.0,3.0,1.54,0.68,1.4508,1.607,0.8479,80.81,1218.89
139,2011-08-01,226.11,9.0,2.3,1.02,0.38,1.4202,1.6278,0.7813,76.87,1131.42
140,2011-09-01,226.6,9.0,1.98,0.9,0.35,1.4283,1.6179,0.7951,76.81,1253.3
141,2011-10-01,226.75,8.8,2.15,1.06,0.47,1.3281,1.5474,0.9151,76.66,1246.96
142,2011-11-01,227.17,8.6,2.01,0.91,0.39,1.3676,1.5946,0.8901,78.28,1257.6
143,2011-12-01,227.22,8.5,1.98,0.89,0.39,1.3487,1.5698,0.9135,77.6,1312.41
144,2012-01-01,227.84,8.3,1.97,0.84,0.36,1.3061,1.5655,0.9319,76.67,1365.68
145,2012-02-01,228.33,8.3,1.97,0.83,0.38,1.3179,1.5849,0.9141,76.11,1408.47
146,2012-03-01,228.81,8.2,2.17,1.02,0.51,1.332,1.5953,0.9051,81.16,1397.91
